,GameID,MatchID,Map,Team1ID,Team2ID,Team1,Team2,Winner,Team1_TotalRounds,Team2_TotalRounds,Team1_SideFirstHalf,Team2_SideFirstHalf,Team1_RoundsFirstHalf,Team1_RoundsSecondtHalf,Team1_RoundsOT,Team2_RoundsFirstHalf,Team2_RoundsSecondtHalf,Team2_RoundsOT,Team1_PistolWon,Team1_Eco,Team1_EcoWon,Team1_SemiEco,Team1_SemiEcoWon,Team1_SemiBuy,Team1_SemiBuyWon,Team1_FullBuy,Team1_FullBuyWon,Team2_PistolWon,Team2_Eco,Team2_EcoWon,Team2_SemiEco,Team2_SemiEcoWon,Team2_SemiBuy,Team2_SemiBuyWon,Team2_FullBuy,Team2_FullBuyWon
10362,17508,10177,Icebox,17,2785,Gen.G,TAMU Maroon,Gen.G,13,3,attack,defend,10,3,0,2,1,0,2.0,2.0,2.0,0.0,0.0,4.0,3.0,10.0,8.0,0.0,4.0,0.0,2.0,0.0,4.0,1.0,6.0,2.0
10363,17531,10185,Split,427,2805,Envy,Aquatik,Envy,13,1,defend,attack,11,2,0,1,0,0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,8.0,7.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,6.0,1.0
10364,17532,10185,Bind,427,2805,Envy,Aquatik,Envy,13,2,attack,defend,10,3,0,2,0,0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,9.0,7.0,0.0,3.0,0.0,3.0,2.0,4.0,0.0,5.0,0.0
10365,17555,10193,Ascent,468,2778,Renegades,Java PR,Renegades,13,1,defend,attack,11,2,0,1,0,0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,8.0,7.0,0.0,2.0,0.0,3.0,0.0,5.0,1.0,4.0,0.0
10366,17556,10193,Haven,468,2778,Renegades,Java PR,Renegades,13,1,attack,defend,11,2,0,1,0,0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,9.0,9.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,5.0,1.0
10367,17567,10197,Haven,1152,2792,Equinox Esports,GamerDuderGuys,Equinox Esports,13,8,attack,defend,7,6,0,5,3,0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,15.0,12.0,1.0,2.0,1.0,2.0,0.0,7.0,5.0,10.0,2.0
10368,17568,10197,Ascent,1152,2792,Equinox Esports,GamerDuderGuys,Equinox Esports,13,0,attack,defend,12,1,0,0,0,0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,8.0,8.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0
10369,16958,9991,Icebox,2649,2340,playzone,STAGA,STAGA,12,14,defend,attack,8,4,0,4,8,2,1.0,3.0,1.0,4.0,2.0,2.0,1.0,17.0,8.0,1.0,2.0,1.0,1.0,1.0,8.0,4.0,15.0,8.0
10370,16959,9991,Haven,2649,2340,playzone,STAGA,playzone,13,7,attack,defend,8,5,0,4,3,0,2.0,3.0,3.0,1.0,1.0,4.0,2.0,12.0,7.0,0.0,2.0,0.0,2.0,0.0,9.0,4.0,7.0,3.0
10371,16960,9991,Bind,2649,2340,playzone,STAGA,playzone,13,5,defend,attack,9,4,0,3,2,0,2.0,2.0,2.0,0.0,0.0,5.0,4.0,11.0,7.0,0.0,2.0,0.0,4.0,1.0,6.0,2.0,6.0,2.0
